What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
Consider the following statement:<br><br>If M and M' are subobjects of X such that M ⊆ M' then M is a subobject of M'.<br><br>Prove or disprove.	true. pg 2747
If M is a subobject of X, then a functor Sub(M) → Sub(X) arises very naturally. Explain this functor.<br>	pg 2747
If z : Z → X is a generalized element of an object X, how do we define a <i>local membership relation</i> "z ∈<sub>X</sub> M" between such elements and subobjects m : M → X.<br><br>(todo: use epi arrow for m?)<br><br>	pg 2747<br>
Explain how an equalizer is a specific kind of subobject.	pg 2747
Give the definition of <i>pullback</i>.	pg 2748, def 5.4
If A, B, and C are objects of a category, what does the notation A ×<sub>C</sub> B mean?	you're probably wondering about the arrows of the corner: they are implicit from context<br>pg 2748, diagram on bottom
Prove proposition 5.5, from page 2749<br>	pg 2750<br>
Consider the following statement:<br><br>If a category <b>C</b> has binary products and equalizers, then it has pullbacks.<br><br>Prove or disprove.<br>	pg 2750<br>
Carefully read and consider example 5.7 on page 2750<br>	<br>
Explain how the notion of pullbacks can be used to define inverse images in categories other than <b>Sets</b>.<br>	pg 2751, top half.<br>
Prove lemma 5.8 1.) on page 2751<br>	why did I write all this text.... it is not that hard if you just draw a diagram and write down a few (~6) equations.<br><br>Let X be an object and let q : X → D and r : X → A be arrows such that<br>h ∘ q = (g ∘ f) ∘ r<br><br>Then X has a unique arrow y to E, since <br>g ∘ (f ∘ r) = (g ∘ f) ∘ r = h ∘ q<br><br>The UMP further gives:<br>g' ∘ y = q, and<br>h' ∘ y = f ∘ r<br><br>Now y and r make X a pullback of B wrt. arrows h' and f.<br>The UMP then gives z : X → F such that f' ∘ z = y and h'' ∘ z = r.<br><br>Then (g' ∘ f') ∘ z = g' ∘ ( f' ∘ z) = g' ∘ y = q.<br>We already have h'' ∘ z = r, and so the outer rectangle satisfies existence for pullbacks.<br><br>What about uniqueness? Noting that (f' ∘ z) = y and h'' ∘ z = r came from the UMP, z is the unique arrow with these properties.<br><br>Now suppose (g' ∘ f') ∘ z' = q and h'' ∘ z' = r for some z' : X → F.<br><br>We have:<br>1.) g' ∘ y = q = (g' ∘ f') ∘ z' = g' ∘ (f' ∘ z')<br>2.) h' ∘ (f' ∘ z') = h' ∘ y = f ∘ r.<br><br>Replacing f' ∘ z' with y, the UMP told us that there is only one arrow y with<br>those properties, and so (f' ∘ z') = y.<br><br>Not done proving existence yet, but I'm going to give up for now... maybe I should format this stuff on latex eventually.<br><br><br><br>
Prove lemma 5.8.2 on page 2751<br>	<br>
What does "the pullback of a commutative triangle is a commutative triangle" mean? Why is it true?	pg 2752, corollary 5.9 (NOTE: it seems to me that there is a simple proof of this fact that has nothing to do with the two pullbacks lemma. furthermore, I don't even know how two pullbacks is applicable here)<br>
Explain how "pulling back along a fixed arrow" is a functor.<br>	pg 2752, proposition 5.10<br>
Let <b>C</b> be a category with pullbacks. For any arrow f : A → B in <b>C</b>, draw a diagram in the category of categories and functors involving the categories Sub(A), Sub(B), <b>C</b>/A, and <b>C</b>/B.<br>	pg 2753, corollary 5.11<br>
Describe the isomorphism 2<sup>A</sup> ≅ P(A) in terms of pullbacks.<br>	pg 2754/2755, read both pages carefully<br><br><br>
Carefully read example 5.13 on page 2755/2756	<br>
Consider the following statement:<br><br>A category has finite products and equalizers iff it has pullbacks and a terminal object. <br><br>Prove or give a counterexample.<br>	pg 2756, prop 5.14<br>
Let <b>J</b> and <b>C</b> be categories. What is a <i>diagram of type</i> <b>J</b> in <b>C</b>?<br>	pg 2757, def 5.15<br>
What is a <i>cone</i> to a diagram D?<br>	pg 2757, def 5.15<br><br>
What is a <i>morphism of cones</i>?<br>	pg 2758<br>
Let D be a diagram in a category. Define the category <b>Cone</b>(D).<br>	pg 2758<br>
Give the definition of a <i>limit</i> for a diagram D : <b>J</b> → <b>C</b>.	pg 2758
Give the definition of a <i>finite limit</i> for a diagram D : <b>J</b> → <b>C</b>.<br>	pg 2758
What is the fancy mathematical notation for the limit of a diagram D?	pg 2758, def 5.16 (lim with a backward arrow)<br>
What UMP does a limit satisfy?	pg 2758, def 5.16
We can obtain an interesting thing if we have an arrow from some object to a limit. Explain what this thing is.	It's a cone. See the diagram at the bottom of pg 2758
Consider the following statement:<br><br>Products are a specific form of limit.<br><br>Prove or disprove.<br>	pg 2759, example 5.17<br>
Consider the following statement:<br><br>An equalizer is a specific kind of limit.<br><br>Prove or disprove.<br><br>	pg 2759, example 5.18<br>
Consider the following statement:<br><br>A terminal object is a specific kind of limit.<br><br>Prove or disprove.	True. pg 2759, example 5.19
Consider the following statement.<br><br>An initial object is a specific kind of limit.<br><br>Prove or disprove.	IMPOSTOR. Terminal object would be correct, pg 2759
Consider the following statement:<br><br>A pullback is a specific kind of limit.<br><br>Prove or disprove.<br>	true. Example 5.20, pg 2759/2760
What does it mean for a category to <i>have all finite limits</i>?	pg 2760, right below prop 5.21
Consider the following statement:<br><br>A category has all finite limits iff it has finite products and equalizers.<br><br>Prove or disprove.<br>	true. pg 2760<br>TODO: add impostor
What does it mean for a functor to <i>preserve limits of type <b>J</b></i>?<br>What does it mean for a functor to be continuous?<br><br>	pg 2762, def 5.24<br>
Let <b>C</b> be a locally small category. Let C be an object in <b>C</b>. Give the definition of the representable functor Hom(C, --).	pg 2762
Consider the following statement:<br><br>The representable functors Hom(C, --) preserve all limits.<br><br>Prove or disprove.<br>	true. pg 2762, prop 5.25
Consider the following statement:<br><br>The representable functors Hom(--, C) preserve all limits.<br><br>Prove or disprove.<br>	IMPOSTOR. this is a contravariant representable functor, which maps limits to colimits.<br>pg 2762
What does it mean for a category to have all limits of some cardinality?<br>Under what conditions does a category have all limits of a cardinality?<br><br>	pg 2761, corollary 5.22<br>
If <b>C</b> is a category, then what is a <i>contravariant functor</i> on C? Give a typical example of a contravariant functor.<br>	pg 2763<br>
Consider the following statement:<br><br>Contravariant representable functors map all colimits to limits.<br><br>Prove or disprove.<br>	pg 2763, cor 5.27
Give an example of a contravariant representable functor mapping a colimit to a limit.<br>	pg 2763, near bottom<br>
Explain the connection between ω-CPOs and category theory.<br>	pg 2768, example 5.33 (near bottom)<br>
Give the definition of a category theoretic <i>exponential</i>.<br>	pg 2777
Give the category-theoretic definitions of <i>evaluation</i> and <i>transpose</i>.<br>	pg 2777
What does it mean for a category to be cartesian closed?	pg 2778
Consider the following statement:<br><br>The category <b>Pos</b> of posets and monotone functions is cartesian closed.<br><br>Prove or disprove. 	true. pg 2778/2779<br>TODO: add impostor<br>
Consider the category whose objects are ωCPOs and whose arrows are monotone, ω-continuous functions.<br><br>Is this category cartesian closed?<br><br><br>	pg 2779<br>
Consider the following statement:<br><br>The category <b>Graphs</b> of graphs and graph homomorphisms is cartesian closed.<br><br>Prove or disprove.<br>	pg 2780<br>
Regarding categorical exponentials, characterize the transpose of an evaluation function.<br>	pg 2781<br>
Consider the following statement:<br><br>In any cartesian closed category <b>C</b>, exponentiation by a fixed object A is a functor:<br>(--)<sup>A</sup> : <b>C</b> → <b>C</b><br><br>Prove or disprove.<br>	true. pg 2782.<br>TODO: add impostor<br>
Provide the definition of <i>natural transformation</i>.<br>	pg 2812, def 7.6<br><br>
Let <b>C</b> and <b>D</b> be functors, F and G be functors from <b>C</b> to <b>D</b>, and <br>Given a natural transformation v : F → G, what is the component of v at C ∈ <b>C</b>?	pg 2812, def 7.6<br>
Provide some visual intuition for what natural transformations are.	pg 2812, bottom of page<br><br>
Provide the definition for the functor category Fun(<b>C</b>,<b>D</b>).<br>	pg 2814<br>
Provide the definition of <i>natural isomorphism</i>.<br>	pg 2814<br>
Consider the following statement:<br><br>A natural transformation v : F → G is a natural isomorphism iff each component v<sub>C</sub> : FC → GC is an isomorphism.<br><br>Prove or disprove.<br>	pg 2815<br>TODO: add impostor<br>
How is the composition of two natural transformations defined?<br>	pg 2814, def 7.9<br>
Show that <b>Cat</b> has small products and coproducts.	pg 2803 (the page doesn't actually explain why)<br>
Consider the following statement:<br><br><b>Cat</b> has all limits.<br><br>Prove or disprove.	true. pg 2803.<br>
What is a <i>subcategory</i>?<br>	pg 2803, near bottom<br>
What does it mean for a functor to be injective/surjective on objects? What does it mean for a functor to be injective/surjective on arrows?<br>	pg 2804, def 7.1<br>
What does it mean for a functor to be <i>faithful</i>?<br>	pg 2804, def 7.1<br>
What does it mean for a functor to be <i>full</i>?<br>	pg 2804, def 7.1<br>
Explain the difference between a functor being <i>faithful</i> and a functor being <i>injective on arrows</i>.	pg 2804<br>
What is a <i>full subcategory</i>?<br>	pg 2804<br><br>
Is the inclusion functor <b>Sets<sub>fin</sub></b> ↣ <b>Sets</b> full? Is it faithful?<br>	pg 2804, near bottom<br>
Is the forgetful functor <b>Groups</b>  ↣ <b>Sets</b> full? Is it faithful?<br>	pg 2804, near bottom<br>
Explain how <b>Cat</b> provides a setting for comparing structures of different kinds.<br>	pg 2805<br>
What kind of insight can be gained by considering a functor that maps from a poset to a group? (We are allowed to choose a specific poset and a specific group here.)<br>	pg 2805<br>
Give the definition of a <i>Heyting algebra</i>.<br>	pg 2785<br>
Consider the following statement:<br><br>Heyting algebras are distributive.<br><br>Prove or disprove.<br>	true. pg 2785<br>todo: add impostor<br>
State (but don't prove) the general rule which tells us that Heyting algebras are distributive.<br>	pg 2786, remark 6.9<br><br>
What does it mean for a poset to be <i>complete</i>?<br>	pg 2786, def 6.10<br>
Under what condition is a complete lattice a Heyting algebra?<br>	pg 2786, prop 6.11<br><br><br>
Consider the following statement:<br><br>Every boolean algebra is a Heyting algebra.<br><br>Prove or disprove.<br>	pg 2787<br>
Consider the following statement:<br><br>Every Heyting algebra is a boolean algebra.<br><br>Prove or disprove.<br>	False. pg 2787<br>
Give the six rules of intuitionistic propositional calculus.<br>	pg 2787<br>
Is "evaluation" entailment <br><br>(p ⇒ q) ∧ p ⊢ q<br><br>true in the intuitionistic propositional calculus? Prove your answer.<br>	pg 2787<br>
Is "modus ponens" <br><br>⊤ ⊢ p ⇒ q<br>and<br>⊤ ⊢ p<br><br>implies<br><br>⊤ ⊢ q<br><br>true in the intuitionistic propositional calculus? Prove your answer.<br><br><br>	pg 2787<br> 
Does the intuitionistic propositional calculus have "projections"?<br>Why or why not?<br>	pg 2788<br>
Is <br><br>p ⊣⊢ ⊤ ∧ p<br><br>Provable in the intuitionistic propositional calculus? Prove your answer.	pg 2788
State the typical axioms for implication.<br><br>Derive these axioms in the intuitionistic propositional caclulus.<br><br>	pg 2788<br>
State the equational definition of cartesian closed categories.<br>	pg 2790/2791<br>
If <b>C</b> is a category, what is a <i>generator</i> for <b>C</b>?<br><br>	pg 2806
Identify a generator in the category of sets. Identify a generator in the category of groups.<br>	pg 2806, near top<br>
Express the forgetful functor U : <b>Grp</b> → <b>Sets</b> via a natural isomorphism to a representable functor.<br><br>(hint: it should have something to do with <i>generators</i>)<br>	pg 2806
A category being "concrete" is somewhat of a vague notion when that category's objects are not sets and its arrows are not functions (the category <b>Grp</b> for example). Describe a more precise way to capture this notion.	there is a natural isomorphism between the the generator points of groups and the elements of the groups' underlying sets.<br><br>pg 2806<br>
Given a group G in a locally small, concrete category <b>C</b>, show that objects in the range of the contravariant representable functor Hom<sub><b>C</b></sub>(--, G) have group structure.<br> <br>	pg 2806<br>
Explain how Hom<sub><b>Sets</b></sub>(--,<b>2</b>) is a functor from sets to boolean algebras.<br>	pg 2807/2808
Show how the contravariant functor Hom<sub><b>Sets</b></sub>(--,<b>2</b>) : <b>Sets<sup>Op</sup></b> → <b>BA</b> is naturally isomorphic to the powerset functor P<sup><b>BA</b></sup> : <b>Sets<sup>Op</sup></b> → <b>BA</b>.	pg 2808<br>
